variant,split,n_molecules,COV_R_pct,COV_P_pct,COV_F1_pct,MAT_R_A,MAT_P_A,MAT_F1_A,strict_STP_pct,center_STP_pct
CycPepFlow-B,4,533,76.41457572396016,84.1900861684003,80.11410925336249,0.49216565822859804,0.3399670091877811,0.40214762237951945,99.78470142453398,99.94101974315932
CycPepFlow-B,5,347,73.73721423634464,76.34608191967362,75.01897336748691,0.556787492299537,0.47897743988336117,0.5149597931620575,99.57667680656895,99.90213614715323
CycPepFlow-B,6,120,71.9531167594316,48.49350738022702,57.9386765470158,0.6288942780613838,0.9494096824789946,0.7566075125892578,99.36809317644955,99.89473474373641
CycPepFlow-APG-B,4,533,75.19965009446314,84.67903270885044,79.65831990093398,0.506676051615539,0.3335266128857179,0.4022599652810006,99.74077126668462,99.90083983162349
CycPepFlow-APG-B,5,347,72.6261647491299,77.65896882120943,75.0582965841651,0.566424477709311,0.4596269782982614,0.5074676705527333,99.55819630283563,99.88225644532042
CycPepFlow-APG-B,6,120,71.09256846101346,49.25427443388087,58.19201888405791,0.6379737777584382,0.9325138713486136,0.7576237834849331,99.13075553104764,99.86012622970972
CycPepFlow-L,4,533,75.45468701235254,84.7769040648612,79.8446139002363,0.5025553834725864,0.32602837558748327,0.39548763423067207,99.77082874310787,99.93962137036804
CycPepFlow-L,5,347,72.99950936557748,78.02757421618763,75.42984343843356,0.5622539004775329,0.4488635990231287,0.4992007545270901,99.60858558999341,99.90607903338373
CycPepFlow-L,6,120,71.7545578575373,49.605638373917074,58.65894682590774,0.6345285252770234,0.9326490123695536,0.7552333902240801,99.43702169199014,99.90785829225534
CycPepFlow-APG-L,4,533,73.7866674987728,86.05628628988747,79.45056609810473,0.5246200695686858,0.307445675947334,0.38769093133152327,99.73601103286194,99.90226927936567
CycPepFlow-APG-L,5,347,71.20377320232103,79.07927917966245,74.93517027322169,0.5746091736573425,0.4344135762438772,0.4947718494859747,99.7810259737497,99.93544999428636
CycPepFlow-APG-L,6,120,71.78390594724355,53.95910271274151,61.608119535344215,0.6352837484115902,0.8670057434082192,0.7332736620550301,99.71236316758198,99.94927776184248
